"smCOG name","main annotation","TAILORING","TRANSPORT","CORE","REGULATOR","OTHER"
"SMCOG10000","TAILORING","1508","0","2","0","197"
"SMCOG10001","CORE","0","1","867","0","783"
"SMCOG10002","CORE","79","0","817","0","295"
"SMCOG10003","TAILORING","871","0","0","0","189"
"SMCOG10004","TAILORING","760","0","0","3","295"
"SMCOG10005","CORE","32","0","942","0","77"
"SMCOG10006","REGULATOR","1","0","0","855","188"
"SMCOG10007","TRANSPORT","1","817","0","0","176"
"SMCOG10008","OTHER","0","0","13","0","930"
"SMCOG10009","TRANSPORT","1","719","0","0","213"
"SMCOG10010","REGULATOR","2","0","0","795","118"
"SMCOG10011","TAILORING","717","0","0","0","185"
"SMCOG10012","TAILORING","585","0","0","2","312"
"SMCOG10013","TRANSPORT","0","626","0","0","261"
"SMCOG10014","TRANSPORT","0","764","0","0","117"
"SMCOG10015","REGULATOR","0","0","0","799","78"
"SMCOG10016","TAILORING","710","0","1","0","125"
"SMCOG10017","TRANSPORT","0","648","0","4","177"
"SMCOG10018","TAILORING","698","0","0","0","96"
"SMCOG10019","CORE","4","0","442","0","320"
"SMCOG10020","REGULATOR","0","0","0","613","142"
"SMCOG10021","TAILORING","534","0","0","0","212"
"SMCOG10022","TAILORING","644","0","0","1","99"
"SMCOG10023","TAILORING","617","0","0","1","125"
"SMCOG10024","CORE","7","0","464","0","257"
"SMCOG10025","OTHER","4","0","218","0","481"
"SMCOG10026","TAILORING","632","0","0","0","67"
"SMCOG10027","OTHER","238","0","3","0","451"
"SMCOG10028","TAILORING","572","0","0","0","116"
"SMCOG10029","TAILORING","485","0","1","0","191"
"SMCOG10030","MIXED","90","0","255","0","327"
"SMCOG10031","TAILORING","594","0","0","0","58"
"SMCOG10032","TAILORING","381","0","0","0","268"
"SMCOG10033","CORE","2","0","489","0","157"
"SMCOG10034","TRANSPORT","0","333","0","0","308"
"SMCOG10035","REGULATOR","1","0","0","463","167"
"SMCOG10036","TAILORING","502","0","28","0","94"
"SMCOG10037","TRANSPORT","0","279","0","16","317"
"SMCOG10038","TRANSPORT","0","550","0","0","57"
"SMCOG10039","CORE","28","0","299","0","267"
"SMCOG10040","TAILORING","552","0","0","0","40"
"SMCOG10041","CORE","12","0","453","0","110"
"SMCOG10042","CORE","1","0","432","0","140"
"SMCOG10043","TAILORING","456","0","0","0","114"
"SMCOG10044","TAILORING","468","0","0","0","97"
"SMCOG10045","TRANSPORT","0","228","1","0","328"
"SMCOG10046","TAILORING","391","0","48","0","113"
"SMCOG10047","REGULATOR","12","0","0","441","95"
"SMCOG10048","TRANSPORT","0","497","0","0","42"
"SMCOG10049","TRANSPORT","0","424","0","1","113"
"SMCOG10050","REGULATOR","66","0","0","404","55"
"SMCOG10051","CORE","5","0","218","0","300"
"SMCOG10052","TAILORING","238","0","0","96","184"
"SMCOG10053","CORE","11","0","289","0","215"
"SMCOG10054","OTHER","136","0","6","0","367"
"SMCOG10055","CORE","0","47","320","0","136"
"SMCOG10056","TAILORING","476","0","8","0","19"
"SMCOG10057","TAILORING","374","0","0","2","124"
"SMCOG10058","TAILORING","301","0","1","0","194"
"SMCOG10059","OTHER","0","176","0","0","320"
"SMCOG10060","TAILORING","220","0","3","0","273"
"SMCOG10061","OTHER","0","0","0","1","494"
"SMCOG10062","TAILORING","418","0","0","0","76"
"SMCOG10063","TAILORING","287","0","5","0","197"
"SMCOG10064","OTHER","41","0","40","0","407"
"SMCOG10065","REGULATOR","0","0","0","351","136"
"SMCOG10066","TAILORING","441","0","0","0","36"
"SMCOG10067","REGULATOR","0","0","0","319","151"
"SMCOG10068","OTHER","0","0","0","1","466"
"SMCOG10069","REGULATOR","0","0","0","427","40"
"SMCOG10070","OTHER","0","0","10","0","457"
"SMCOG10071","OTHER","10","0","0","0","456"
"SMCOG10072","OTHER","19","0","34","0","410"
"SMCOG10073","TAILORING","383","0","0","1","77"
"SMCOG10074","REGULATOR","1","0","0","408","45"
"SMCOG10075","TAILORING","406","0","0","0","43"
"SMCOG10076","TAILORING","400","0","3","0","35"
"SMCOG10077","TRANSPORT","0","380","0","3","49"
"SMCOG10078","REGULATOR","1","0","0","319","112"
"SMCOG10079","MIXED","79","0","154","0","194"
"SMCOG10080","OTHER","1","0","6","0","416"
"SMCOG10081","CORE","0","0","362","0","60"
"SMCOG10082","REGULATOR","2","0","0","383","37"
"SMCOG10083","TAILORING","220","0","0","0","199"
"SMCOG10084","REGULATOR","0","0","0","172","247"
"SMCOG10085","TRANSPORT","0","307","0","4","104"
"SMCOG10086","OTHER","156","0","0","0","253"
"SMCOG10087","CORE","7","0","225","0","176"
"SMCOG10088","TAILORING","325","1","0","0","81"
"SMCOG10089","TAILORING","296","0","0","1","108"
"SMCOG10090","TAILORING","235","0","1","0","154"
"SMCOG10091","CORE","1","0","250","0","138"
"SMCOG10092","TAILORING","251","0","0","2","135"
"SMCOG10093","CORE","26","0","214","0","143"
"SMCOG10094","OTHER","0","11","0","0","372"
"SMCOG10095","CORE","67","0","160","0","154"
"SMCOG10096","TRANSPORT","0","349","0","0","32"
"SMCOG10097","REGULATOR","0","0","0","159","221"
"SMCOG10098","OTHER","0","0","0","0","375"
"SMCOG10099","OTHER","1","0","137","0","236"
"SMCOG10100","TAILORING","267","26","0","0","77"
"SMCOG10101","TAILORING","208","0","0","0","161"
"SMCOG10102","TRANSPORT","0","296","0","0","69"
"SMCOG10103","TAILORING","320","0","4","0","40"
"SMCOG10104","OTHER","14","2","0","0","342"
"SMCOG10105","TRANSPORT","0","332","0","7","18"
"SMCOG10106","OTHER","0","53","0","0","303"
"SMCOG10107","CORE","1","0","336","0","16"
"SMCOG10108","TAILORING","230","0","0","0","122"
"SMCOG10109","REGULATOR","0","1","0","296","52"
"SMCOG10110","TRANSPORT","1","310","0","0","36"
"SMCOG10111","TRANSPORT","1","316","0","0","26"
"SMCOG10112","MIXED","89","0","0","78","175"
"SMCOG10113","TAILORING","319","0","0","0","24"
"SMCOG10114","REGULATOR","0","0","0","316","25"
"SMCOG10115","TRANSPORT","0","319","0","0","20"
"SMCOG10116","TAILORING","137","0","0","2","199"
"SMCOG10117","CORE","38","0","248","0","51"
"SMCOG10118","TAILORING","273","0","0","0","63"
"SMCOG10119","TAILORING","271","0","1","0","60"
"SMCOG10120","OTHER","1","0","99","0","231"
"SMCOG10121","TAILORING","143","0","0","1","185"
"SMCOG10122","OTHER","105","0","0","1","222"
"SMCOG10123","TAILORING","177","0","0","10","132"
"SMCOG10124","REGULATOR","1","0","0","262","62"
"SMCOG10125","OTHER","1","0","30","0","293"
"SMCOG10126","TAILORING","241","0","0","0","82"
"SMCOG10127","CORE","0","9","203","0","110"
"SMCOG10128","TRANSPORT","4","144","0","0","168"
"SMCOG10129","CORE","14","0","168","0","137"
"SMCOG10130","OTHER","103","0","0","0","214"
"SMCOG10131","CORE","6","0","289","0","22"
"SMCOG10132","TAILORING","177","0","0","0","138"
"SMCOG10133","TRANSPORT","0","296","0","0","17"
"SMCOG10134","TRANSPORT","0","246","0","0","66"
"SMCOG10135","TAILORING","277","0","0","2","33"
"SMCOG10136","TRANSPORT","0","259","0","0","52"
"SMCOG10137","OTHER","0","0","24","0","284"
"SMCOG10138","REGULATOR","1","0","0","238","67"
"SMCOG10139","OTHER","87","0","0","0","217"
"SMCOG10140","TAILORING","280","0","5","0","19"
"SMCOG10141","OTHER","6","0","86","0","212"
"SMCOG10142","TAILORING","223","0","1","0","80"
"SMCOG10143","TRANSPORT","0","246","0","1","56"
"SMCOG10144","TRANSPORT","0","165","0","1","135"
"SMCOG10145","TAILORING","230","0","21","0","47"
"SMCOG10146","OTHER","71","0","24","0","199"
"SMCOG10147","TRANSPORT","0","214","0","0","79"
"SMCOG10148","OTHER","0","0","1","0","288"
"SMCOG10149","REGULATOR","3","0","0","246","39"
"SMCOG10150","TRANSPORT","0","198","0","0","90"
"SMCOG10151","CORE","0","0","245","0","43"
"SMCOG10152","TRANSPORT","0","141","0","1","144"
"SMCOG10153","OTHER","30","0","0","3","252"
"SMCOG10154","TAILORING","220","0","0","0","63"
"SMCOG10155","REGULATOR","0","0","0","267","15"
"SMCOG10156","TRANSPORT","0","264","0","0","14"
"SMCOG10157","OTHER","0","29","2","0","245"
"SMCOG10158","TAILORING","153","0","0","0","117"
"SMCOG10159","REGULATOR","0","0","0","234","36"
"SMCOG10160","REGULATOR","0","0","0","205","64"
"SMCOG10161","OTHER","82","0","1","0","186"
"SMCOG10162","CORE","1","0","183","0","82"
"SMCOG10163","TAILORING","247","0","0","0","19"
"SMCOG10164","OTHER","0","1","0","0","263"
"SMCOG10165","OTHER","19","0","0","0","242"
"SMCOG10166","TAILORING","215","0","0","0","45"
"SMCOG10167","OTHER","0","0","0","0","260"
"SMCOG10168","CORE","34","0","173","0","53"
"SMCOG10169","TRANSPORT","0","136","0","16","108"
"SMCOG10170","TAILORING","139","0","0","0","120"
"SMCOG10171","TRANSPORT","0","234","0","1","24"
"SMCOG10172","REGULATOR","0","5","0","176","73"
"SMCOG10173","OTHER","63","0","0","1","188"
"SMCOG10174","CORE","3","0","118","0","130"
"SMCOG10175","CORE","5","0","111","0","135"
"SMCOG10176","TAILORING","140","0","5","0","106"
"SMCOG10177","TAILORING","178","0","0","0","70"
"SMCOG10178","OTHER","80","0","0","4","164"
"SMCOG10179","OTHER","53","0","0","0","194"
"SMCOG10180","REGULATOR","1","0","0","227","17"
"SMCOG10181","REGULATOR","0","0","0","189","54"
"SMCOG10182","TAILORING","196","0","0","0","46"
"SMCOG10183","OTHER","0","79","0","1","160"
"SMCOG10184","TRANSPORT","0","170","6","0","63"
"SMCOG10185","OTHER","4","0","0","0","235"
"SMCOG10186","TAILORING","155","0","0","0","82"
"SMCOG10187","TAILORING","195","0","0","0","38"
"SMCOG10188","OTHER","53","0","0","0","180"
"SMCOG10189","TAILORING","107","0","1","0","125"
"SMCOG10190","REGULATOR","2","0","0","172","59"
"SMCOG10191","REGULATOR","8","0","0","201","23"
"SMCOG10192","TRANSPORT","0","180","4","0","48"
"SMCOG10193","REGULATOR","0","0","0","223","9"
"SMCOG10194","OTHER","1","7","0","0","221"
"SMCOG10195","TAILORING","200","0","0","0","27"
"SMCOG10196","TAILORING","171","0","0","0","55"
"SMCOG10197","TAILORING","179","0","0","0","46"
"SMCOG10198","TRANSPORT","0","106","0","0","118"
"SMCOG10199","OTHER","80","0","0","0","143"
"SMCOG10200","CORE","4","0","94","0","124"
"SMCOG10201","OTHER","0","1","0","3","217"
"SMCOG10202","OTHER","14","0","0","0","207"
"SMCOG10203","TRANSPORT","0","97","0","0","124"
"SMCOG10204","OTHER","8","1","0","0","211"
"SMCOG10205","TRANSPORT","0","203","0","0","17"
"SMCOG10206","MIXED","48","0","80","0","91"
"SMCOG10207","OTHER","0","3","0","0","215"
"SMCOG10208","TAILORING","177","2","0","0","39"
"SMCOG10209","OTHER","0","0","0","0","218"
"SMCOG10210","OTHER","0","0","0","0","217"
"SMCOG10211","OTHER","0","1","0","0","215"
"SMCOG10212","OTHER","11","0","56","0","148"
"SMCOG10213","OTHER","49","0","0","0","166"
"SMCOG10214","OTHER","20","0","0","2","192"
"SMCOG10215","OTHER","0","0","0","12","201"
"SMCOG10216","REGULATOR","0","0","0","127","84"
"SMCOG10217","OTHER","2","0","0","55","153"
"SMCOG10218","TAILORING","168","0","0","1","40"
"SMCOG10219","TAILORING","186","0","0","0","22"
"SMCOG10220","TAILORING","156","0","0","0","52"
"SMCOG10221","TRANSPORT","0","195","0","0","12"
"SMCOG10222","TAILORING","137","0","0","6","64"
"SMCOG10223","REGULATOR","0","1","0","143","62"
"SMCOG10224","CORE","1","0","132","0","72"
"SMCOG10225","TRANSPORT","0","192","0","0","13"
"SMCOG10226","TAILORING","120","0","0","0","83"
"SMCOG10227","TRANSPORT","0","119","0","10","73"
"SMCOG10228","OTHER","14","0","0","0","187"
"SMCOG10229","OTHER","8","0","0","0","193"
"SMCOG10230","TAILORING","181","0","2","0","18"
"SMCOG10231","OTHER","0","0","5","0","195"
"SMCOG10232","TRANSPORT","0","138","0","0","59"
"SMCOG10233","OTHER","61","0","1","0","134"
"SMCOG10234","OTHER","0","0","0","8","188"
"SMCOG10235","TAILORING","128","0","0","0","68"
"SMCOG10236","OTHER","1","0","0","0","194"
"SMCOG10237","TAILORING","166","0","0","0","27"
